,ra,dec,clusterid,source_id,l,b,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,pmra_pmdec_corr,phot_bp_mean_mag,phot_g_mean_mag,phot_rp_mean_mag,bp_rp,phot_bp_rp_excess_factor,ps_id,ra_ps,dec_ps,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,ymag,e_ymag,catwise_id,ra_cat,dec_cat,pmra_cat,pmdec_cat,e_pmra_cat,e_pmdec_cat,snrw1pm,snrw2pm,w1mpropm,e_w1mpropm,w2mpropm,e_w2mpropm,chi2pmra_cat,chi2pmdec_cat,phot_bp_rp_excess_factor_c,fpm0,log_fpm0,p_gal_mean,p_qso_mean,p_star_mean,z_gaia,z_ph_xgb,z_ph_tab,z_ph_ftt,z_ph,z_xp_nn,ps1_good,sep_mean,sep_min,sep_max,"z_diff(max,z_ph)",dis(max),qso_num,S_colour,Wen_BCG_RA,Wen_BCG_DEC,Zou_BCG_RA,Zou_BCG_DEC,eROSITA_cluster_RA,eROSITA_cluster_DEC,Grade
221,60.9054231,-18.16808527,34087,5096190077815013760,211.94763888,-45.03215418,0.1,0.5,0.2,0.3,-0.0,0.4,-0.2,20.0728,19.8463,19.5383,0.5345,1.1476,86190609054068640,60.90541999999999,-18.168087,20.032,0.035,19.862,0.024,19.752,0.01,19.816,0.01,19.521,0.132,b'0602m182_b0-014859',60.9053404,-18.1679634,0.00955,-0.02965,0.0432,0.0427,25.9,19.9,16.757,0.042,15.799,0.055,0.0,1.21,-0.0337,0.845,-0.073,0.0,1.0,0.0,2.8555,2.8960000000000004,2.7997,2.8452,2.847,,True,49.31123,49.31123,49.31123,2.0859,385.5784110252935,2.0,0.7576999999999998,,,,,,,B
222,60.91805097,-18.16147784,34087,5096190077815018112,211.94483537,-45.01860069,-0.5,0.6,0.1,0.5,1.1,0.6,-0.3,20.2135,20.1723,19.826,0.3876,1.2773,86200609180216590,60.918053,-18.161478,19.793,0.022,19.94,0.027000000000000003,20.054,0.018000000000000002,19.799,0.051,20.055,0.081,b'0602m182_b0-005404',60.9180608,-18.1615385,0.02922,0.01485,0.0239,0.0236,18.8,19.4,15.949000000000002,0.058,15.130999999999998,0.056,7.92,0.0,0.105,0.076,-1.116,0.0,1.0,0.0,0.7383,0.7398,0.7929,0.7504,0.7611,,True,49.31123,49.31123,49.31123,2.0859,385.5784110252935,2.0,0.7576999999999998,,,,,,,B
223,151.87779348,-18.29255359,34151,5672422784534362496,257.16257774,29.65642326,-1.6,0.7,-0.5,0.7,0.1,0.8,-0.2,20.2116,20.1267,19.6724,0.5392,1.3103,86041518778629193,151.87779,-18.292551,20.279,0.037000000000000005,20.16,0.034,20.014,0.022,19.995,0.023,19.994,0.027000000000000003,b'1522m182_b0-014728',151.8777888,-18.2924883,0.04303,0.00195,0.0336,0.036000000000000004,27.2,28.3,16.59,0.04,15.342,0.038,4.08,1.39,0.1287,0.245,-0.611,0.0,1.0,0.0,1.0339,1.4895,1.5817,1.5052,1.5255,,True,29.52342,29.52342,29.52342,0.16199999999999992,249.97998641036256,2.0,0.9577000000000006,,,,,,,B
224,151.88357793,-18.28646336,34151,5672423162491485568,257.16255317,29.66462417,,,,,,,,20.3507,20.7279,20.6479,-0.2972,1.4797,86051518835616602,151.88358,-18.286463,20.838,0.041,20.731,0.043,20.402,0.051,20.475,0.039,20.309,0.111,b'1522m182_b0-021042',151.8835435,-18.2863835,-0.02281,0.00643,0.0445,0.0507,21.9,18.2,16.989,0.049,15.859000000000002,0.06,2.14,1.43,0.3325,,99.0,0.0,1.0,0.0,1.6946,1.6452,1.7077,1.7098,1.6875,,True,29.52342,29.52342,29.52342,0.16199999999999992,249.97998641036256,2.0,0.9577000000000006,,,,,,,B
225,100.53959574,59.3704453,3461,1001926195535495552,156.22382707,21.96314953,-1.0,0.8,1.0,1.1,-0.3,1.0,0.2,20.6252,20.5764,20.1654,0.4598,1.3079,179241005396385324,100.53961,59.370438,20.665,0.022,20.588,0.044,20.663,0.037000000000000005,20.337,0.047,20.132,0.188,b'1008p590_b0-021176',100.5396108,59.37037460000001,0.06231,0.03305,0.0338,0.0372,24.1,17.8,16.521,0.045,15.923,0.061,0.0,0.27,0.1312,0.084,-1.074,0.0,1.0,0.0,0.2919,0.9635,0.9989,1.1153,1.0259,,True,16.67541,16.67541,16.67541,1.1642,137.93413693982714,2.0,0.7792000000000003,,,,,,,B
226,100.54641122,59.36737978,3461,1001926195536663552,156.22805948,21.96560895,0.3,0.3,0.1,0.2,0.1,0.2,0.3,19.6494,19.4102,19.0111,0.6383,1.1898,179241005463581571,100.54641,59.36738,19.816,0.014,19.577,0.027000000000000003,19.406,0.018000000000000002,19.209,0.031,19.085,0.046,b'1008p590_b0-016344',100.54634,59.36743440000001,-0.01686,-0.04055,0.0246,0.0273,31.3,30.8,16.281,0.035,15.344,0.035,3.52,2.53,0.0019,2.789,0.445,0.0,1.0,0.0,2.1928,2.2191,2.1858,2.1653,2.1901,,True,16.67541,16.67541,16.67541,1.1642,137.93413693982714,2.0,0.7792000000000003,,,,,,,B
227,18.37960482,-20.83923595,35225,2352000404268556288,162.82005745,-81.94116481,1.0,0.7,0.5,0.7,0.9,0.8,0.4,20.6116,20.4306,19.9896,0.622,1.2457,82990183796043243,18.379604,-20.839235,20.068,0.038,19.749,0.004,19.934,0.075,19.963,0.099,19.68,0.12,b'0177m213_b0-006661',18.37961,-20.8391955,-0.02418,-0.0076700000000000015,0.0279,0.0274,36.2,31.2,16.204,0.03,15.172,0.035,3.2,0.05,0.0589,0.154,-0.812,0.0,1.0,0.0,1.2764,1.2198,1.2835,1.2585,1.2539,,True,28.94939,28.94939,28.94939,0.4215,241.52499804960584,2.0,0.8979000000000006,,,,,,,B
228,18.38210388,-20.84693082,35225,2352000408564279424,162.86679653,-81.94582926,0.2,0.2,0.0,0.3,-0.1,0.3,0.4,19.129,19.0214,18.7258,0.4033,1.2095,82980183820764051,18.382105,-20.846926,18.808,0.022,18.902,0.048,19.064,0.025,18.884,0.045,18.932,0.067,b'0177m213_b0-001943',18.382051,-20.8468367,-0.01474,0.03643,0.0123,0.0121,59.6,63.4,15.08,0.018000000000000002,14.243,0.017,7.84,0.91,0.0362,1.87,0.272,0.001,0.999,0.0,0.8467,0.8382,0.8194,0.8395,0.8324,,True,28.94939,28.94939,28.94939,0.4215,241.52499804960584,2.0,0.8979000000000006,,,,,,,B
229,166.49810730000004,65.30111395,36824718,1055929873069435136,139.15062316,48.37240806,0.2,0.3,0.4,0.3,0.4,0.3,0.2,20.1958,19.9062,19.4196,0.7762,1.2144,186361664981192057,166.49811,65.30112,19.875,0.042,19.709,0.023,19.529,0.017,19.511,0.016,19.578,0.056,b'1677p651_b0-007004',166.49813769999997,65.30114710000001,0.007490000000000002,-0.0223,0.0202,0.0227,33.1,39.2,16.221,0.033,15.032,0.028,1.1,1.89,0.0166,0.495,-0.306,0.0,1.0,0.0,1.5817,1.5771,1.5828,1.5775,1.5791,,True,12.78621,12.78621,12.78621,1.0978,108.32328076728147,2.0,0.7232,,,,,,,B
230,166.50077480000004,65.30448627,36824718,1055929873069435904,139.14625472,48.37036028,0.7,0.6,1.1,0.6,-0.2,0.8,0.3,20.6097,20.5427,19.5298,1.0799,1.7519,186361665008506106,166.5008,65.30449,20.388,0.019,20.366,0.031,19.986,0.02,19.993,0.029,19.337,0.038,b'1677p651_b0-004044',166.5007592,65.3044797,-0.00915,-0.00072,0.016,0.0178,32.4,38.8,15.803,0.034,14.927,0.028,2.83,2.1,0.5274,0.034,-1.469,0.0,1.0,0.0,0.4888,0.5024,0.4721,0.4695,0.4813,,True,12.78621,12.78621,12.78621,1.0978,108.32328076728147,2.0,0.7232,,,,,,,B
